Product History SJ_TM2360E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-14 22:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SNumber,Stamp,ICount,FwStamp,FwPC,FwWrMAC,FwFile,FwPass,BatPC,BatStamp,BatSn,BatPass,RfTxStamp,RfTxPC,RfTxPower,RfTxModul,RfTxCFOD,RfTxPass,PcbStartTime,PcbStopTime,PcbSleepCurr,PcbMaxSleepCurr,PcbMinSleepCurr,PcbBatVolt,PcbMaxBatVolt,PcbMinBatVolt,PcbIrCurr,PcbMaxIrCurr,PcbMinIrCurr,PcbIrPwr,PcbMaxIrPwr,PcbMinIrPwr,PcbWirelessVolt,PcbMaxWirelessVolt,PcbMinWirelessVolt,PcbUsbCurr,PcbMaxUsbCurr,PcbMinUsbCurr,PcbWirelessUsbVolt,PcbMaxWirelessUsbVolt,PcbMinWirelessUsbVolt,PcbLed,PcbMaxLed,PcbMinLed,PcbPass,SemiAssyStartTime,SemiAssyStopTime,SemiAssyBatVolt,SemiAssyMaxBatVolt,SemiAssyMinBatVolt,SemiAssySolarVolt,SemiAssyMaxSolarVolt,SemiAssyMinSolarVolt,SemiAssySolarVoltUsb,SemiAssyMaxSolarVoltUsb,SemiAssyMinSolarVoltUsb,SemiAssyUsbVolt,SemiAssyMaxUsbVolt,SemiAssyMinUsbVolt,SemiAssyUsbCurrent,SemiAssyMaxUsbCurrent,SemiAssyMinUsbCurrent,SemiAssyPass,BatadcPC,BatadcStamp,BatadcLevel,BatadcBtVer,BatadcVoiceTh,BatadcVoiceLvl,BatadcVoiceFreq,BatadcRssiRx,BatadcRssiTx,BatadcOffRaw1,BatadcOffBase1,BatadcOnRaw,BatadcOnBase,BatadcOnDiff,BatadcOffRaw2,BatadcOffBase2,BatadcSar,BatadcPass
1,IDSRBN5901480KSMJNY9C1571,2025-09-13 06:56:00,2,2025-09-13 06:56:00,DW-A1-2360,28070823A9DE,E1500007_Pack_Release-ec438040f422f28f15708ef2ef5ca375.bin,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,IDSRBN5901480KSMJNY9C1570,2025-09-13 06:55:25,1,2025-09-13 06:55:23,DW-A1-2360,28070823A9DD,E1500007_Pack_Release-ec438040f422f28f15708ef2ef5ca375.bin,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,IDSRBN5901480KSMJNY9C1571,2025-09-13 06:55:25,1,2025-09-13 06:55:23,DW-A1-2360,28070823A9DE,E1500007_Pack_Release-ec438040f422f28f15708ef2ef5ca375.bin,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,IDSRBN5901480KSMJNY9C1568,2025-09-13 06:55:24,1,2025-09-13 06:55:23,DW-A1-2360,28070823A9DB,E1500007_Pack_Release-ec438040f422f28f15708ef2ef5ca375.bin,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,IDSRBN5901480KSMJNY9C1569,2025-09-13 06:55:24,1,2025-09-13 06:55:23,DW-A1-2360,28070823A9DC,E1500007_Pack_Release-ec438040f422f28f15708ef2ef5ca375.bin,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,IDSRBN5901480KSMJNY9C1574,2025-09-13 06:54:46,1,2025-09-13 06:54:44,DW-A2-2360,28070823A9E1,E1500007_Pack_Release-ec438040f422f28f15708ef2ef5ca375.bin,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,IDSRBN5901480KSMJNY9C2656,2025-09-13 06:54:46,1,2025-09-13 06:54:44,DW-A2-2360,28070823AE1B,E1500007_Pack_Release-ec438040f422f28f15708ef2ef5ca375.bin,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,IDSRBN5901480KSMJNY9C1572,2025-09-13 06:54:45,1,2025-09-13 06:54:44,DW-A2-2360,28070823A9DF,E1500007_Pack_Release-ec438040f422f28f15708ef2ef5ca375.bin,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,IDSRBN5901480KSMJNY9C1573,2025-09-13 06:54:45,1,2025-09-13 06:54:44,DW-A2-2360,28070823A9E0,E1500007_Pack_Release-ec438040f422f28f15708ef2ef5ca375.bin,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,IDSRBN5901480KSMJNY9C1575,2025-09-13 06:54:38,1,2025-09-13 06:54:38,DW-A1-2360,28070823A9E2,E1500007_Pack_Release-ec438040f422f28f15708ef2ef5ca375.bin,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
